Name,Category,Value,
"Is Unsupported CLR","Collection","False",
"Is Lifetime","Collection","False",
"Is Managed","Collection","True",
"Is DHP Happened","Collection","False",
"Is Graceful Exit","Collection","True",
"Is JScript","Collection","False",
"Is UMS Application Terminated","Collection","False",
"Is 64 Bit","Collection","False",
"Is Concurrency","Collection","False",
"Is Sampling","Collection","True",
"Is TIP","Collection","True",
"Is Resource Contention","Collection","False",
"Is Instrumentation","Collection","False",
"Is Allocation","Collection","False",
"Is Visualizer","Collection","False",
"ETL File Signature","ETW","00000000-0000-0000-0000-000000000000",
"Kernel ETL File","ETW","",
"Application ETL File","ETW","",
"I/O Buffers","General","514",
"Creation Time","General","1/9/2012 9:02:17 PM",
"Size of Buffers","General","65536",
"CPU Family","Machine Information","6",
"CPU Model","Machine Information","12",
"CPU Architecture","Machine Information","Intel",
"Number of CPUs","Machine Information","8",
"Machine Name","Machine Information","PEDDINTI",
"CPU Stepping","Machine Information","2",
"Operating System Build Number","Machine Information","7601",
"Operating System Major Version","Machine Information","6",
"Operating System Minor Version","Machine Information","1",
"Clock Frequency","Machine Information","2527",
"CPU Type","Machine Information","Intel",
"Counter 0","Performance Counters","TimeStamp Counter",
"Total Processes","Process","1",
"Maximum Processes","Process","64",
"Process Highwater","Process","1",
"Number of Processes","Process","0",
"Samples (Kernel)","Sampling","26044",
"Samples (Overhead)","Sampling","663",
"Samples (Callback)","Sampling","28521",
"Callbacks (Stack Walks) ","Sampling","28402",
"Samples (Other)","Sampling","18404",
"Is SysCall Sampling","Sampling","False",
"Is Cycle Sampling","Sampling","True",
"Is PageFault Sampling","Sampling","False",
"Samples (Aborted)","Sampling","0",
"Samples (Broken)","Sampling","3122",
"Is Performance Counter Sampling","Sampling","False",
"Sampling Interval","Sampling","10000000",
"Samples (Total)","Sampling","73513",
"Samples (Application)","Sampling","28402",
"Maximum Threads","Thread","512",
"Number of Threads","Thread","0",
"Total Threads","Thread","195",
"Thread Highwater","Thread","57",
"Minor File Version","Version Information","1",
"Minor Product Version","Version Information","0",
"Major File Version","Version Information","43",
"Version String","Version Information","10.0.40219 x86",
"Build Number","Version Information","40219",
"Major Product Version","Version Information","10",
